,ID,Name,Country,Lat,Lng,CurrCond,TempF,Hum,Cloud,WindSpd,DateTime,EqtrDist
254,2122783,Katangli,RU,51.71,143.23,Clouds,50.16,83,95,13.82,1562138885,3578.3320000000003
255,3868633,Vallenar,CL,-28.58,-70.76,Clear,43.5,81,0,1.59,1562138885,1977.7359999999999
256,359792,Aswan,EG,24.09,32.9,Clear,96.8,14,0,9.17,1562138885,1667.028
257,3867291,Filadelfia,PY,-22.35,-60.04,Clouds,65.28,80,100,10.45,1562138886,1546.6200000000001
258,2317887,Bure,NG,10.52,10.33,Clouds,74.64,79,79,1.36,1562138886,727.984
259,3024440,Cognac,FR,45.69,-0.33,Clear,70.72,60,0,10.29,1562138886,3161.748
260,2401495,Booue,GA,-0.09,11.94,Clouds,69.96,89,97,3.09,1562138886,6.228
261,2093846,Kiunga,PG,-6.12,141.3,Rain,84.0,63,83,3.09,1562138887,423.504
262,2639447,Wyndham,GB,51.61,-3.54,Clear,57.07,71,0,10.29,1562138887,3571.4120000000003
263,2638664,Salisbury,GB,51.07,-1.8,Clear,57.92,71,0,6.93,1562138887,3534.0440000000003
264,4347242,Annapolis,US,38.98,-76.49,Mist,71.1,94,1,5.57,1562138888,2697.4159999999997
265,3533462,Acapulco,MX,16.86,-99.88,Clouds,84.2,79,20,4.7,1562138822,1166.712
